ABIRATERONE	2174974
CLARITHROMYCINE	3487362;3382806;3372044;3853654;3380138;4948629;4940792;3809067;3409741;3686038;3686044;3998861;3809073;3817948;3034519;3655463;3808895;3808725;3850259;3998909;3855363;2160765;3817931;3476878;3809021;3686009;3808731;3849894;3904015;2160759;3686015;3817925;3000437;3655428;3808955;3853944;3808671;3057615;3478529;3850199;3809015;3853921;3850271;2160707;3341724;3340311;3456545;3808961;3849316;4940740;3808837;3850153;3655374;3678033;4940898;3849150;4940852;3849049;3850213;3456692;3849061;3849813;3678056;3655339;3850130;3849411;3808777;3046132;3849173
CLIDINIUM	3553952
CLINDAMYCINE	3410365;3066809;3066815
CLOBAZAM	3181373;3172380;3252073
CLOMIPRAMINE	3244843;3494480;3680691;3037015;3514946;3530141;3689261;3420783;3004346;3420725;3688362;3514969;3004352
CLONAZEPAM	3442827;3153968;3170524;3816498
CLONIDINE	3594069
CLOPAMIDE	3718057;3233785
CLOPIDOGREL	3690063;2241570;3962834;3962076;3971247;3987515;3959789;3967872;3971589;3971052;3968995;3974180;3968423;3968417;2175873;3969753;3970874;3969842;3467916;3969894;3968506;4950230;3590226;3802220;4950299;3880639;3802237;3880622;3820637;3479457;3598481;3998648
CLORAZEPATE	3107709;3242991;3770129;3475815;3150728;3770135;3243016;3629885
CLOTIAZEPAM	3260670;3260664
CLOXACILLINE	3193933
CLOZAPINE	3570471;3570399;3570465;3551350;3551344;3570382;3570407;3551367;3551404;3551410
CODEINE	3109660;3322075;3032029;3071012;3080465;3109654;3515472;3276576;3071006;3288993;3117429;3318085;3281057;3077598;3084931;3038517;3077606;3486606;3748331;3418036;3984586;3328379;3038144;3544338;3404695;3330465;3483097;3331677;3617149;3574871;3577007;3488338;3689456;3902447;3327581;3574865;3902364;3610265;3610242;3628940;3610503;3975587;3434880;3628928;3434874;3331909;3975558
COLCHICINE	3024490;3627509
COLESTYRAMINE	3150272
CORTIVAZOL	3135798
CYAMEMAZINE	3191992;3296389;3162335;3130329
CYANOCOBALAMINE	3113644;3171050;3620275;3565719;3571855;3690979;3527794;3620281;3113638;3551539;3571861;3570904;3676695;3570896
CYCLOPHOSPHAMIDE	3035890
CYPROHEPTADINE	3081789
CYPROTERONE	3693245;3794437;3746651;3619697;3794414;3794420;3450672;4945826;3626970;4945832;3641923;3794443;3750612;3450689;3602679;3296975;4160752;3766599;3788448;3666691;3884459;3694581;3693529;3420168;3619705;3788454;3423273;3360437;3750285;3693239;3820525;3404175;3602656;3641917;3666716;3820620;3409014;3436761;3296981;3884436;3235100;3436778
CYTARABINE	3026721
DABIGATRAN	3852560;3852554;3852620;3852614;3852577;4194538;3852608
DALTEPARINE SODIQUE	3373061;3352981;3301096;3974352;3421297;3974323;3974300;3353012;4925019;3421305;3974346;3301073;3373084
DANAZOL	3230108;3230114
DANTROLENE	3215617;3215600
DAPSONE	3032561
DARUNAVIR	3783184;3959536;3931408;3931383
DASATINIB	3915958;3776379;3776445;4946174;3776416
DEFERASIROX	3769563;3769557;3769511
DEFEROXAMINE	3029837;3550942
DEMECLOCYCLINE	3830819
DESMOPRESSINE	3693179;3693104;3693110;3693185;3233199;3693133;3693156;3305504;3547331;3622021
DESOGESTREL	3972063;3972123;3972057;3529037;3305214;3586644;2166064;3586638;3385383;3586650;2166070;3254988;3586621;3385408;3337697;3254971;3529020;3305208;3972146
DEXAMETHASONE	4940711;3028536
